Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C190,100.000000,-152.500000,90.000000,Top
C191,97.000000,-152.500000,90.000000,Top
C192,94.000000,-152.500000,90.000000,Top
C193,100.000000,-155.000000,90.000000,Top
C194,97.000000,-155.000000,90.000000,Top
C195,94.000000,-155.000000,90.000000,Top
C196,100.000000,-157.500000,90.000000,Top
C197,97.000000,-157.500000,90.000000,Top
C198,94.000000,-157.500000,90.000000,Top
C199,100.000000,-160.000000,90.000000,Top
C200,97.000000,-160.000000,90.000000,Top
C201,94.000000,-160.000000,90.000000,Top
C202,100.000000,-162.500000,90.000000,Top
C203,97.000000,-162.500000,90.000000,Top
C204,94.000000,-162.500000,90.000000,Top
C205,100.000000,-165.000000,90.000000,Top
C206,97.000000,-165.000000,90.000000,Top
C207,94.000000,-165.000000,90.000000,Top
C208,100.000000,-167.500000,90.000000,Top
C209,97.000000,-167.500000,90.000000,Top
C210,94.000000,-167.500000,90.000000,Top
C211,100.000000,-170.000000,90.000000,Top
C212,97.000000,-170.000000,90.000000,Top
C213,94.000000,-170.000000,90.000000,Top
C214,100.000000,-172.500000,90.000000,Top
C215,97.000000,-172.500000,90.000000,Top
C216,94.000000,-172.500000,90.000000,Top
C217,170.000000,-145.000000,90.000000,Top
C218,173.000000,-145.000000,90.000000,Top
C219,176.000000,-145.000000,90.000000,Top
C220,170.000000,-147.500000,90.000000,Top
C221,173.000000,-147.500000,90.000000,Top
C222,176.000000,-147.500000,90.000000,Top
C223,170.000000,-150.000000,90.000000,Top
C224,173.000000,-150.000000,90.000000,Top
C225,170.000000,-152.500000,90.000000,Top
C226,173.000000,-152.500000,90.000000,Top
C227,170.000000,-155.000000,90.000000,Top
C228,173.000000,-155.000000,90.000000,Top
C229,170.000000,-157.500000,90.000000,Top
C230,173.000000,-157.500000,90.000000,Top
C231,170.000000,-160.000000,90.000000,Top
C232,173.000000,-160.000000,90.000000,Top
C233,170.000000,-162.500000,90.000000,Top
C234,173.000000,-162.500000,90.000000,Top
C235,170.000000,-165.000000,90.000000,Top
C236,173.000000,-165.000000,90.000000,Top
C237,170.000000,-167.500000,90.000000,Top
C238,173.000000,-167.500000,90.000000,Top
C239,170.000000,-170.000000,90.000000,Top
C240,173.000000,-170.000000,90.000000,Top
C241,170.000000,-172.500000,90.000000,Top
C242,173.000000,-172.500000,90.000000,Top
C243,176.000000,-172.500000,90.000000,Top
C244,260.000000,-125.000000,0.000000,Top
C245,262.500000,-125.000000,0.000000,Top
C246,265.000000,-125.000000,0.000000,Top
C247,267.500000,-125.000000,0.000000,Top
C248,270.000000,-125.000000,0.000000,Top
C249,272.500000,-125.000000,0.000000,Top
C250,275.000000,-125.000000,0.000000,Top
C251,277.500000,-125.000000,0.000000,Top
C252,280.000000,-125.000000,0.000000,Top
C253,282.500000,-125.000000,0.000000,Top
C254,285.000000,-125.000000,0.000000,Top
C255,287.500000,-125.000000,0.000000,Top
C256,290.000000,-125.000000,0.000000,Top
C257,292.500000,-125.000000,0.000000,Top
C258,295.000000,-125.000000,0.000000,Top
C259,297.500000,-125.000000,0.000000,Top
C260,300.000000,-125.000000,0.000000,Top
C261,302.500000,-125.000000,0.000000,Top
